fname,date,group_number,lat_max,lat_mean,lat_min,long_max,long_mean,long_min,area,nspots,ncores,nspots_with_cores,tilt,complexity,B0,L0
201007230452_63,2010-07-23 04:52:00,63,-20.896839382608626,-23.565130789798225,-26.597699125411616,204.04336674804043,200.32865533765118,194.64675141823588,489.2927973661232,17,16,6,-2.38518795707952,210,5.0,230.3
201007240414_63,2010-07-24 04:14:00,63,-21.13184511804052,-23.933526273462878,-27.108870931896487,204.70470285725915,201.2742676469717,194.51135724201768,303.4081788705225,9,4,3,-23.918641882253,241,5.1,217.4
201007250447_64,2010-07-25 04:47:00,64,23.580195523056695,23.339902703511466,23.10100823247625,149.50081246608713,149.04876119559427,148.52783535342513,16.55368269739899,1,0,0,3.6337301943670894,78,5.2,203.9
201007250447_63,2010-07-25 04:47:00,63,-20.642012791645094,-23.50926938663443,-26.93897390298199,204.949342780944,201.55754162167088,195.07147460092773,297.4692601061099,12,7,3,-32.41837852328503,232,5.2,203.9
201007260349_63,2010-07-26 03:49:00,63,-20.25875707583995,-23.03236888740138,-26.88754020743502,205.54479627324142,202.53095643452443,198.1385472868428,193.86951148738186,9,3,2,-40.63884753084286,255,5.0,191.2
201007260349_64,2010-07-26 03:49:00,64,23.589633772273192,23.46739842336245,23.369173021955103,149.08478248286238,148.9051386943561,148.74078330442322,4.276371751679407,1,0,0,-7.765166018425335,23,5.0,191.2
201007270248_63,2010-07-27 02:48:00,63,-20.071689810065685,-22.420525919982204,-26.89329398429519,206.6745223434196,203.23980993844174,193.17187200150937,169.94086598187215,5,2,2,-25.59008042968439,284,5.4,178.5
201007280344_63,2010-07-28 03:44:00,63,-20.37102855434814,-22.84153463687375,-26.713433341930088,206.458817858391,203.09925758592112,197.63329908300733,141.53892603738527,5,1,1,-37.35461246999231,284,5.5,164.8
201007300650_65,2010-07-30 06:50:00,65,14.518430725343249,13.164041293375499,11.72134351303398,80.4004196663387,78.69145994192043,76.6841394972584,359.7224157227643,1,1,1,-7.421598254602539,121,5.0,138.8
201007310225_65,2010-07-31 02:25:00,65,14.399181638327274,13.075761240868015,11.638530272778599,83.06998498278509,81.432402343874,79.61620166290369,334.9333011450794,1,2,1,-0.9318641842104766,123,5.0,125.8
201008010408_65,2010-08-01 04:08:00,65,20.27244373032385,13.70788082981698,11.399502478312044,82.2779462493132,79.48053851137219,70.82698997366407,424.4358332427678,4,4,3,47.42445433027847,284,5.8,111.7
201008020250_65,2010-08-02 02:50:00,65,19.905619753983267,13.09651667306583,11.200147179259169,82.26515094387352,80.04782305721089,71.04595738134319,367.7722911787316,5,1,1,39.8508884987706,284,5.8,99.1
201008030314_65,2010-08-03 03:14:00,65,14.048038306299,12.560526648472152,11.17049316944663,82.43373914125267,80.89972155564655,78.23376164520839,318.9301484394682,2,2,1,-4.570420160795888,111,5.9,85.7
201008040257_65,2010-08-04 02:57:00,65,20.22244098762221,12.967696708665954,11.1230513368462,82.42187964905347,80.24019882600848,69.89065441649316,350.8264058534696,3,4,3,31.811688711245303,284,6.0,72.6
201008050251_65,2010-08-05 02:51:00,65,13.948732905290287,12.525127889542064,11.06714970408161,82.54690681438802,81.20184204111355,79.85071257205793,294.94877451114337,1,1,1,1.764235289537014,81,6.1,59.5
201008050251_69,2010-08-05 02:51:00,69,-18.951366242576448,-19.0470978813413,-19.12774177713002,3.3997817497321776,3.1693377914418344,2.9814088416861035,4.76969873123133,1,0,0,13.742797739157044,28,6.1,59.5
201008060251_68,2010-08-06 02:51:00,68,26.92336057774293,25.20825367543335,23.68591720298273,109.52995249173269,106.42600648737604,102.64951392113993,98.8526794541618,2,2,2,28.402315412496492,97,6.1,46.2
201008060251_67,2010-08-06 02:51:00,67,13.958254939787974,10.908759190069004,9.429475723552788,355.35742503995994,353.2489046012687,347.8047234749961,289.5776275339613,2,2,2,43.80521815269662,181,6.1,46.2
201008060251_65,2010-08-06 02:51:00,65,14.041098385054035,12.529437313812466,11.062105861551103,83.00750828792036,81.47647070485586,80.02133255243524,322.69487884864964,1,1,1,3.052270618280093,89,6.1,46.2
201008070258_67,2010-08-07 02:58:00,67,13.465940896563733,10.521137241592008,9.28073920205038,354.53162725772194,353.0775533885953,347.69326510145277,220.5875971220329,2,1,1,26.945114432362708,159,6.2,32.9
201008070258_69,2010-08-07 02:58:00,69,-13.863018772877851,-16.70120309877953,-18.383195645339576,12.246502545568047,4.98920256014791,1.0378164390173694,49.759307999780944,2,1,1,-18.949592778943806,263,6.2,32.9
201008070258_65,2010-08-07 02:58:00,65,14.20694855362814,12.610593724886012,11.071551880617754,83.13020800178285,81.55523114688587,80.0002003609215,330.6607042783112,1,1,1,10.152182754603944,150,6.2,32.9
201008080245_67,2010-08-08 02:45:00,67,12.100507064559107,10.640614575240487,9.225208909809725,356.49409674605835,353.5919277551374,352.0590829452354,253.9381985254421,2,2,2,-18.582949009304762,122,6.2,19.8
201008080245_69,2010-08-08 02:45:00,69,-16.71150391059386,-17.156829767417847,-17.57462158874603,2.384485636111183,1.8256263883782635,1.2464957652617343,41.36821223085288,1,1,1,3.119654724541319,80,6.2,19.8
201008080245_65,2010-08-08 02:45:00,65,14.070690255672377,12.782096435552864,11.503355520933905,82.65738053529826,80.87905460737386,79.35945480119688,298.9166846849186,1,1,1,16.92858246148706,78,6.2,19.8
201008090459_70,2010-08-09 04:59:00,70,23.182860047278556,21.94996714526141,20.726570543476488,17.2396967628954,14.95233018846276,12.434033379740761,88.8777313540736,7,2,2,16.077231608025688,144,6.3,5.4
201008090459_67,2010-08-09 04:59:00,67,13.199476647598953,10.56931011265332,9.264374623890099,354.62913387584916,352.9518172263748,346.7343020141156,216.4123265379084,2,2,1,20.830774050894828,229,6.3,5.4
201008090459_69,2010-08-09 04:59:00,69,-16.534986371165335,-17.017324849042843,-17.546091110436198,2.2307260553738133,1.849564227899512,1.4122183252145115,29.336567324839066,1,1,1,-17.281026420414392,59,6.3,5.4
